lat,lng,district_id
18.125,78.0625,32007
18.125,78.125,32007
18.125,78.1875,32007
18.625,79.0,32008
18.625,79.0625,32008
18.625,79.125,32008
18.5625,79.0,32008
18.5625,79.0625,32008
18.5625,79.125,32008
18.5625,79.1875,32008
18.5,78.9375,32008
18.5,79.0,32008
18.5,79.0625,32008
18.5,79.125,32008
18.5,79.1875,32008
18.4375,79.0,32008
18.4375,79.0625,32008
18.4375,79.125,32008
18.4375,79.1875,32008
18.4375,79.25,32008
18.4375,79.3125,32008
18.4375,79.375,32008
18.375,79.0625,32008
18.375,79.125,32008
18.375,79.1875,32008
18.375,79.25,32008
18.375,79.3125,32008
18.375,79.375,32008
18.375,79.4375,32008
18.375,79.5,32008
18.375,79.5625,32008
18.3125,79.0625,32008
18.3125,79.125,32008
18.3125,79.1875,32008
18.3125,79.25,32008
18.3125,79.3125,32008
18.3125,79.375,32008
18.3125,79.4375,32008
18.3125,79.5,32008
18.3125,79.5625,32008
18.25,79.125,32008
18.25,79.1875,32008
18.25,79.25,32008
18.25,79.3125,32008
18.25,79.375,32008
18.25,79.4375,32008
18.25,79.5,32008
18.1875,79.1875,32008
18.1875,79.25,32008
18.1875,79.3125,32008
18.1875,79.375,32008
18.1875,79.4375,32008
17.5625,80.3125,32009
17.5,80.25,32009
17.5,80.3125,32009
17.5,80.375,32009
17.4375,80.1875,32009
17.4375,80.25,32009
17.4375,80.3125,32009
17.4375,80.375,32009
17.4375,80.4375,32009
17.375,79.9375,32009
17.375,80.0,32009
17.375,80.125,32009
17.375,80.1875,32009
17.375,80.25,32009
17.375,80.3125,32009
17.375,80.375,32009
17.375,80.4375,32009
17.375,80.5625,32009
17.3125,79.875,32009
17.3125,79.9375,32009
17.3125,80.0,32009
17.3125,80.0625,32009
17.3125,80.125,32009
17.3125,80.1875,32009
17.3125,80.25,32009
17.3125,80.3125,32009
17.3125,80.375,32009
17.3125,80.4375,32009
17.3125,80.5,32009
17.3125,80.5625,32009
17.3125,80.625,32009
17.3125,80.75,32009
17.3125,80.8125,32009
17.25,79.9375,32009
17.25,80.0,32009
17.25,80.0625,32009
17.25,80.125,32009
17.25,80.1875,32009
17.25,80.25,32009
17.25,80.3125,32009
17.25,80.375,32009
17.25,80.4375,32009
17.25,80.5,32009
17.25,80.5625,32009
17.25,80.625,32009
17.25,80.6875,32009
17.25,80.75,32009
17.25,80.8125,32009
17.25,80.875,32009
17.1875,79.9375,32009
17.1875,80.0,32009
17.1875,80.0625,32009
17.1875,80.125,32009
17.1875,80.1875,32009
17.1875,80.25,32009
17.1875,80.3125,32009
17.1875,80.375,32009
17.1875,80.4375,32009
17.1875,80.5,32009
17.1875,80.5625,32009
17.1875,80.625,32009
17.1875,80.6875,32009
17.1875,80.75,32009
17.1875,80.8125,32009
17.1875,80.875,32009
17.125,80.0,32009
17.125,80.0625,32009
17.125,80.125,32009
17.125,80.1875,32009
17.125,80.25,32009
17.125,80.3125,32009
17.125,80.375,32009
17.125,80.4375,32009
17.125,80.5,32009
17.125,80.6875,32009
17.125,80.75,32009
17.125,80.8125,32009
17.125,80.875,32009
17.0625,80.0625,32009
17.0625,80.125,32009
17.0625,80.1875,32009
17.0625,80.25,32009
17.0625,80.3125,32009
17.0625,80.375,32009
17.0625,80.4375,32009
17.0625,80.8125,32009
17.0,80.0625,32009
17.0,80.125,32009
17.0,80.25,32009
17.0,80.3125,32009
17.0,80.375,32009
16.9375,80.3125,32009
16.9375,80.375,32009
16.9375,80.4375,32009
16.9375,80.5,32009
16.9375,80.5625,32009
16.875,80.375,32009
16.875,80.4375,32009
16.875,80.5,32009
16.875,80.5625,32009
16.8125,80.5,32009
16.8125,80.5625,32009
19.5625,79.25,32010
19.5625,79.3125,32010
19.5625,79.375,32010
19.5625,79.6875,32010
19.5625,79.75,32010
19.5625,79.8125,32010
19.5,78.9375,32010
19.5,79.0,32010
19.5,79.0625,32010
19.5,79.125,32010
19.5,79.25,32010
19.5,79.3125,32010
19.5,79.375,32010
19.5,79.4375,32010
19.5,79.5,32010
